On This Day,Day,Diet: 1 (worst) to 5 (best),Meditation,"Mindset(Motivated=Yes,Lazy=No)",Visualization,Exercise,Reading (Doesn't include Studying),Touch Typing,Schedule Tomorrow,% of Day On-Schedule,% of Planned Output Completed,"To Sleep Hr. (1am = 13, 2am =14)",To Sleep Minute,Awake Hour,Awake Minute,"Health Condition (5=Best, 1=worst)",Water Consumption(in litre),"Skin Condition (1=worst,5=best)","Posture & Pain (1=worst,5=best)",Personal Hygiene,Database update status,"Positivity (1=worst,5=best)",Morning Prayer,Phone Time(in mins),Workout time(in mins),"Focus Level (1=worst,5=best)"
"Sep 16,2021",Thu,3,Yes,Yes,Yes,Yes,No,No,No,0.2,1,11,45,6,10,2,2.1,4,4,No,No,3,No,0.2,0.6,3
"Sep17,2021",Fri,1,No,Yes,No,Yes,Yes,Yes,No,0.7,0.6,11,30,6,25,3,1.8,3,2,No,No,2,No,2,1.7,4
"Sep18,2021",Sat,4,No,Yes,No,Yes,Yes,Yes,Yes,0.7,0.2,10,45,5,53,4,3,3,3,No,No,4,No,0.9,0.7,1
"Sep19,2021",Sun,2,No,Yes,No,Yes,No,Yes,No,0.7,0.7,10,55,6,0,2,2.5,4,3,No,No,4,No,2.9,1.5,4
"Sep20,2021",Mon,2,No,Yes,No,No,Yes,Yes,Yes,0.7,0.6,11,30,6,25,1,1.6,2,3,No,No,3,No,4.5,1.7,4
"Sep21,2021",Tue,3,No,Yes,Yes,Yes,No,Yes,Yes,0.7,0.5,10,55,6,4,3,2.3,1,3,No,No,4,No,1.9,1.2,4
"Sep22,2021",Wed,3,Yes,No,Yes,Yes,Yes,Yes,No,0.7,0.6,11,30,5,35,2,2.8,5,3,No,No,4,No,2.7,0.4,3
"Sep23,2021",Thu,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.7,0.6,12,5,6,17,2,3,3,3,No,No,3,No,2.5,1.5,1
"Sep24,2021",Fri,4,Yes,Yes,Yes,Yes,Yes,No,Yes,0.7,0.7,11,40,6,10,2,1.9,2,2,No,No,2,No,3.3,1.6,3
"Sep25,2021",Sat,2,Yes,Yes,Yes,Yes,Yes,No,No,0.7,0.6,11,45,6,10,2,1.4,3,4,No,No,2,No,1.4,1.4,3
"Sep26,2021",Sun,3,Yes,Yes,No,No,Yes,No,Yes,0.7,0.6,11,15,6,7,3,2.5,4,2,No,No,4,No,1,0.1,4
"Sep27,2021",Mon,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.7,0.6,11,25,6,10,4,2.2,4,2,No,No,3,No,4.5,0.9,3
"Sep28,2021",Tue,4,Yes,Yes,Yes,Yes,No,No,No,0.7,0.2,11,5,6,20,4,2.9,3,4,No,No,5,No,0.3,1.8,2
"Sep29,2021",Wed,4,Yes,No,Yes,Yes,Yes,No,Yes,0.7,0.45,11,40,6,30,3,1.9,1,3,No,No,2,No,4.7,1.2,3
"Sep30,2021",Thu,3,Yes,Yes,Yes,Yes,Yes,No,Yes,0.7,0.57,12,10,6,15,3,3,2,3,No,No,4,No,3.6,1.4,3
"Oct1,2021",Fri,3,Yes,Yes,Yes,Yes,No,No,No,0.7,0.2,12,0,6,10,2,2.9,4,2,No,No,2,No,2.2,0.4,2
"Oct2,2021",Sat,3,No,Yes,Yes,Yes,No,No,Yes,0.7,0.45,11,40,6,2,4,2.6,3,1,No,No,1,No,1.8,0.7,1
"Oct3,2021",Sun,5,Yes,Yes,Yes,Yes,No,No,Yes,0.1,0.1,13,45,6,15,4,2.4,4,2,No,No,4,No,2.5,1.5,5
"Oct4,2021",Mon,3,Yes,Yes,Yes,Yes,No,No,Yes,0.7,0.6,11,20,6,10,2,2.4,3,4,No,Yes,2,No,0.7,0.9,4
"Oct5,2021",Tue,3,Yes,Yes,Yes,Yes,No,No,Yes,0.5,0.3,11,6,6,10,3,2.8,4,2,Yes,Yes,4,No,0.3,1.2,4
"Oct6,2021",Wed,4,Yes,Yes,Yes,Yes,No,No,Yes,0.7,0.6,11,32,6,10,3,2.4,3,3,Yes,Yes,3,Yes,2.5,1.2,3
"Oct7,2021",Thu,3,Yes,Yes,Yes,Yes,No,Yes,Yes,0.7,0.45,12,10,6,13,3,2.8,2,3,Yes,Yes,4,Yes,1.5,0.5,1
"Oct8,2021",Fri,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.7,0.57,11,25,6,6,4,3,4,3,Yes,Yes,3,Yes,4.1,1.9,4
"Oct9,2021",Sat,3,Yes,Yes,Yes,Yes,No,Yes,Yes,0.7,0.45,11,35,6,3,3,3,4,2,No,Yes,1,No,4.9,1,1
"Oct10,2021",Sun,4,Yes,Yes,Yes,Yes,No,No,Yes,0.7,0.45,11,35,6,5,3,2.8,4,4,Yes,Yes,3,Yes,4.1,1.7,1
"Oct11,2021",Mon,4,Yes,Yes,Yes,No,No,Yes,Yes,0.7,0.3,11,1,6,20,3,2.9,4,2,Yes,Yes,3,Yes,4.4,1.3,4
"Oct12,2021",Tue,4,Yes,Yes,Yes,No,No,No,Yes,0.3,0.1,11,45,6,2,2,2.7,3,3,Yes,Yes,2,Yes,4.2,1.3,4
"Oct13,2021",Wed,3,No,Yes,Yes,No,No,No,No,0.2,0.1,12,10,6,0,3,2.4,3,3,No,Yes,4,No,3.8,0.5,4
"Oct14,2021",Thu,3,No,No,Yes,No,No,Yes,Yes,0.2,0.1,11,2,6,1,4,2.9,4,3,Yes,Yes,4,No,1.8,1.8,4
"Oct15,2021",Fri,3,No,No,No,No,No,No,Yes,0.2,0.1,12,0,6,10,3,2.5,4,3,No,Yes,NA,No,0.2,1.2,1
"Oct16,2021",Sat,2,No,No,Yes,No,No,Yes,No,0.3,0.1,11,40,6,12,2,2.9,3,3,Yes,No,4,No,4.3,1.3,2
"Oct17,2021",Sun,2,No,Yes,Yes,No,No,No,No,0.6,0.55,11,25,6,40,3,2.3,2,3,Yes,Yes,4,No,4.7,1.7,1
"Oct18,2021",Mon,3,No,No,No,Yes,No,No,Yes,0.6,0.45,11,30,6,45,3,2.3,1,2,Yes,Yes,3,Yes,2.4,1.7,1
"Oct19,2021",Tue,4,No,Yes,Yes,Yes,No,No,Yes,0.3,0.3,11,55,7,3,3,2,1,4,Yes,Yes,2,Yes,5,0.1,1
"Oct20,2021",Wed,4,No,No,Yes,Yes,No,Yes,Yes,0.5,0.43,12,35,6,45,3,2.6,3,2,No,Yes,2,Yes,2.9,0.1,2
"Oct21,2021",Thu,2,No,No,Yes,Yes,No,Yes,Yes,0.7,0.57,11,30,6,30,2,3,4,2,Yes,Yes,4,Yes,3.4,0.6,2
"Oct22,2021",Fri,2,Yes,Yes,Yes,Yes,No,Yes,Yes,0.7,0.5,11,15,6,15,2,2.6,3,4,Yes,Yes,3,Yes,4.5,0.7,1
"Oct23,2021",Sat,3,Yes,Yes,No,Yes,Yes,Yes,Yes,0.7,0.45,11,45,5,57,4,2.8,3,3,Yes,Yes,1,Yes,3.7,1.1,1
"Oct24,2021",Sun,2,Yes,Yes,No,Yes,No,Yes,Yes,0.7,0.4,11,25,6,0,3,3,2,3,Yes,Yes,3,Yes,3.8,1.5,1
"Oct25,2021",Mon,3,Yes,Yes,Yes,Yes,No,Yes,No,0.46,0.8,11,40,6,34,3,2.8,3,4,Yes,No,4,Yes,4.6,0.9,1
"Oct26,2021",Tue,2,Yes,No,Yes,Yes,No,Yes,No,0.4,0.56,11,20,6,30,4,2.4,3,5,No,Yes,2,Yes,2.6,1.9,5
"Oct27,2021",Wed,4,Yes,Yes,Yes,Yes,No,Yes,No,0.1,1,2,25,3,14,3,2.1,3,4,Yes,No,3,No,1,1.1,5
"Oct28,2021",Thu,3,No,Yes,No,No,No,No,No,0,0,12,10,3,7,4,2.8,4,3,No,Yes,3,No,4.5,1.3,4
"Oct29,2021",Fri,2,Yes,No,No,No,No,No,No,0.8,0.5,11,30,7,34,2,2.9,2,2,No,No,1,No,4.9,0.4,4
"Oct30,2021",Sat,4,Yes,No,No,No,No,No,No,0.1,0.6,11,43,6,42,5,2,5,5,No,No,2,No,1.7,1.4,4
"Oct31,2021",Sun,3,Yes,No,No,No,No,No,No,0.7,0.2,12,39,7,42,3,2.5,3,3,No,No,4,No,4.1,0.7,1
"Nov01,2021",Mon,4,No,No,No,No,No,No,No,0.3,0.5,11,42,5,37,2,2.6,2,2,No,No,4,No,1,1.4,4
"Nov02,2021",Tue,2,No,No,No,No,No,No,No,0.8,1,12,40,6,43,4,1.6,4,4,No,No,4,No,0.3,1.1,4
"Nov03,2021",Wed,2,Yes,No,No,No,No,No,No,0.7,0.3,12,39,7,32,5,1.8,5,5,No,No,2,No,3.2,1.4,3
"Nov04,2021",Thu,4,Yes,No,No,No,No,No,No,0.9,0.5,11,38,6,41,5,2.3,5,5,No,No,1,No,2.2,0.6,3
"Nov05,2021",Fri,3,Yes,No,No,No,No,No,No,0.7,0.8,12,40,5,40,3,1.6,3,3,No,No,2,No,2.6,0.6,3
"Nov06,2021",Sat,5,Yes,No,No,No,No,No,No,0.5,0.9,11,43,6,43,4,1.7,4,4,No,No,2,No,1.4,1.6,3
"Nov07,2021",Sun,1,Yes,No,No,No,No,No,No,0.2,0.6,12,44,6,43,4,2.4,4,4,No,No,3,No,2.4,0.2,2
"Nov08,2021",Mon,5,Yes,No,No,No,No,No,No,0.3,0.6,11,40,5,39,4,1.7,4,4,No,No,2,No,3.1,1.3,5
"Nov09,2021",Tue,1,Yes,No,No,No,No,No,No,0.4,0.7,11,34,6,37,4,1.5,4,4,No,No,2,No,1.8,0.2,3
"Nov10,2021",Wed,2,Yes,No,No,No,No,No,No,0.3,0.2,10,38,6,37,4,3.1,4,4,No,No,4,No,0.1,1.8,4
"Nov11,2021",Thu,3,No,No,No,No,No,No,No,0.7,0.7,12,37,6,41,2,1.8,2,2,No,No,4,No,1,0.1,2
"Nov12,2021",Fri,2,Yes,No,No,No,No,No,No,0.8,0.9,11,36,6,34,1,2.3,1,1,No,No,3,No,1.7,0.8,3
"Nov13,2021",Sat,4,No,No,No,No,No,No,No,0.4,0.4,10,35,6,37,4,1.8,4,4,No,No,4,No,4.4,1.3,2
"Nov14,2021",Sun,3,Yes,No,No,No,No,No,No,0.3,0.4,12,38,6,41,4,1.6,4,4,No,No,4,No,0.5,1.4,4
"Nov15,2021",Mon,2,No,No,No,No,No,No,No,0.6,0.8,11,49,6,47,1,2.3,1,1,No,No,3,No,0.2,1.8,2
"Nov16,2021",Tue,3,Yes,No,No,No,No,No,No,0.1,0.6,11,37,7,36,5,1.9,5,5,No,No,4,No,2.4,1,3
"Nov17,2021",Wed,4,Yes,No,No,No,No,No,No,0.5,0.2,13,33,5,39,1,2.1,1,1,No,No,2,No,4.4,0.7,3
"Nov18,2021",Thu,4,No,No,No,No,No,No,No,0.9,0,11,41,6,36,1,2.7,1,1,No,No,2,No,4.5,1.4,2
"Nov19,2021",Fri,1,Yes,No,No,No,No,No,No,0.1,0.6,10,40,6,29,4,2.3,4,4,No,No,4,No,0.7,1.1,3
"Nov20,2021",Sat,2,Yes,No,No,No,No,No,No,0.3,0.4,13,42,5,37,2,2.2,2,2,No,No,5,No,4.9,0.1,4
"Nov21,2021",Sun,5,Yes,No,No,No,No,No,No,0.3,0.9,11,46,6,38,4,2.4,4,4,No,No,3,No,4.1,1.3,2
"Nov22,2021",Mon,3,No,No,No,No,No,No,No,0.5,0.1,10,35,5,42,4,1.9,4,4,No,No,4,No,0.8,0.2,5
"Nov23,2021",Tue,5,No,No,No,No,No,No,No,0.1,0.2,13,42,5,45,3,2.1,3,3,No,No,4,No,0.5,1.1,1
"Nov24,2021",Wed,2,Yes,No,No,No,No,No,No,0.9,0.3,11,45,7,44,3,2,3,3,No,No,5,No,1.2,0.8,3
"Nov25,2021",Thu,3,Yes,No,No,No,No,No,No,0.7,0.3,12,34,6,41,2,3,2,2,No,No,4,No,3.7,1.9,3
"Nov26,2021",Fri,4,No,No,No,No,No,No,No,0.5,0.1,10,39,5,39,3,2.2,3,3,No,No,1,No,4.3,0.6,3
"Nov27,2021",Sat,3,Yes,No,No,No,No,No,No,0.9,0,10,40,5,38,3,3.1,3,3,No,No,2,No,1.3,1.7,4
"Nov28,2021",Sun,1,Yes,No,No,No,No,No,No,0.9,0.9,12,39,6,35,4,2.6,4,4,No,No,5,No,0.6,1.8,4
"Nov29,2021",Mon,3,Yes,No,No,No,No,No,No,0.8,0.1,11,37,5,42,3,2.9,3,3,No,No,2,No,4.2,1.8,4
"Nov30,2021",Tue,1,Yes,No,No,No,No,No,No,0,0,12,41,7,44,4,3.3,4,4,No,No,5,No,4.5,0.3,4
"Dec01,2021",Wed,5,Yes,No,No,No,No,No,No,0.8,0.3,10,45,7,30,5,1.7,5,5,No,No,3,No,1.2,1.8,3
"Dec02,2021",Thu,5,Yes,No,No,No,No,No,No,0.4,0.5,12,42,6,41,4,1.7,4,4,No,No,4,No,4.4,1.4,4
"Dec03,2021",Fri,5,No,No,No,No,No,No,No,0.3,0.9,12,37,7,41,4,2.6,4,4,No,No,5,No,4.3,1.2,3
"Dec04,2021",Sat,3,No,No,No,No,No,No,No,0.8,0,11,46,6,39,3,3.4,3,3,No,No,5,No,0,0.6,2
"Dec05,2021",Sun,3,No,No,No,No,No,No,No,0.3,0.4,11,39,5,46,2,2.1,2,2,No,No,5,No,3.3,1.2,3
"Dec06,2021",Mon,4,Yes,No,No,No,No,No,No,0.7,0.2,11,39,6,46,5,3.2,5,5,No,No,5,No,2.5,0.1,2
"Dec07,2021",Tue,4,Yes,No,No,No,No,No,No,0.5,0.1,13,37,7,36,5,2.4,5,5,No,No,3,No,2.2,0.2,2
"Dec08,2021",Wed,5,Yes,No,No,No,No,No,No,0,0.9,13,39,5,39,2,2.5,2,2,No,No,2,No,2.6,1.6,2
"Dec09,2021",Thu,2,No,No,No,No,No,No,No,0.7,0,11,40,6,48,5,2.1,5,5,No,No,3,No,1.6,1.5,1
"Dec10,2021",Fri,4,Yes,No,No,No,No,No,No,1,0,12,39,6,38,5,2.8,5,5,No,No,1,No,0.3,1.5,4
"Dec11,2021",Sat,3,Yes,No,No,No,No,No,No,0.8,0.3,11,43,6,41,3,2,3,3,No,No,2,No,0.4,0.2,3
"Dec12,2021",Sun,3,Yes,No,No,No,No,No,No,0.8,0.1,12,40,7,37,1,1.8,1,1,No,No,1,No,0.8,1.6,3
"Dec13,2021",Mon,1,Yes,No,No,No,No,No,No,0.6,0.8,12,43,7,42,3,2.3,3,3,No,No,1,No,2.4,0.1,3
"Dec14,2021",Tue,2,Yes,No,No,No,No,No,No,0.4,0.1,11,35,6,49,3,2,3,3,No,No,3,No,4,1.6,3
"Dec15,2021",Wed,2,Yes,No,No,No,No,No,No,0.2,0.2,11,43,5,40,4,2.1,4,4,No,No,3,No,2,0.3,4
"Dec16,2021",Thu,1,Yes,No,No,No,No,No,No,0.5,0.2,12,42,6,36,4,2.4,4,4,No,No,3,No,3,1.4,1
"Dec17,2021",Fri,4,Yes,No,No,No,No,No,No,0.6,0.1,10,42,6,42,4,2.4,4,4,No,No,5,No,4.9,1.1,4
"Dec18,2021",Sat,4,Yes,No,No,No,No,No,No,0.1,0.4,10,41,6,46,5,1.5,5,5,No,No,4,No,4,1.8,4
"Dec19,2021",Sun,3,Yes,No,No,No,No,No,No,0.8,0.9,12,35,5,42,4,1.6,4,4,No,No,4,No,2.7,0.1,5
"Dec20,2021",Mon,2,Yes,No,No,No,No,No,No,0,0.8,12,43,6,40,2,2.1,2,2,No,No,2,No,0.6,1.1,4
"Dec21,2021",Tue,3,No,No,No,No,No,No,No,0.5,1,13,40,6,48,4,2.8,4,4,No,No,3,No,2.7,1.2,1
"Dec22,2021",Wed,4,Yes,No,No,No,No,No,No,0.5,0.2,13,40,7,41,1,3.2,1,1,No,No,2,No,5,1.9,2
"Dec23,2021",Thu,4,Yes,No,No,No,No,No,No,1,0,12,47,6,29,2,2.6,2,2,No,No,5,No,2.9,1.6,3
"Dec24,2021",Fri,4,Yes,No,No,No,No,No,No,0.9,0.4,11,43,6,52,2,3.3,2,2,No,No,5,No,3.8,0.4,2
"Dec25,2021",Sat,3,No,No,No,No,No,No,No,0.7,0.2,10,45,7,36,2,2.3,2,2,No,No,3,No,1.3,0.3,1
"Dec26,2021",Sun,4,Yes,No,No,No,No,No,No,0.2,0.7,12,48,5,36,1,2.6,1,1,No,No,2,No,1.8,0.7,1
"Dec27,2021",Mon,5,No,No,No,No,No,No,No,0.8,0.4,10,36,6,38,2,1.8,2,2,No,No,2,No,2.4,1.7,1
"Dec28,2021",Tue,4,No,No,No,No,No,No,No,0.4,0.8,13,40,6,34,3,2.4,3,3,No,No,2,No,2.3,0.6,1
"Dec29,2021",Wed,3,No,No,No,No,No,No,No,0.6,0.1,10,45,6,41,4,2.2,4,4,No,No,3,No,2.7,0.7,4
"Dec30,2021",Thu,3,Yes,No,No,No,No,No,No,0.2,0.4,11,37,5,37,2,3.3,2,2,No,No,2,No,1,0.9,3
"Dec31,2021",Fri,4,No,No,No,No,No,No,No,0.9,0.6,11,46,7,33,2,2.4,2,2,No,No,4,No,4.4,0.3,1
"Jan01,2022",Sat,5,Yes,No,No,No,No,No,No,0.4,0.2,10,44,7,34,4,3.3,4,4,No,No,1,No,2.1,1.5,1
"Jan02,2022",Sun,1,Yes,No,No,No,No,No,No,0.6,0.3,12,43,6,47,4,3.3,4,4,No,No,2,No,4.6,1.5,4
"Jan03,2022",Mon,3,No,No,No,No,No,No,No,0.6,0.2,10,39,7,34,3,1.6,3,3,No,No,3,No,3.5,0.5,1
"Jan04,2022",Tue,2,No,No,No,No,No,No,No,0.5,0.5,12,44,6,46,3,2.6,3,3,No,No,3,No,4.9,0.4,2
"Jan05,2022",Wed,1,Yes,No,No,No,No,No,No,0.7,0.5,11,36,5,31,1,2.5,1,1,No,No,3,No,5,1.6,2
"Jan06,2022",Thu,2,Yes,No,No,No,No,No,No,0.2,0.8,13,42,7,37,2,3.3,2,2,No,No,3,No,0.1,2,4
